xflr5 v6.47

VTOL_SINGLE_W1_FX63137_2020
T1-25.0 m/s-Panel-0.0kg-x0.0m-Inviscid
QInf  =   25.000000 m/s
Alpha =   20.000000
Beta  =    0.000°
Phi   =    0.000°
Ctrl  =    0.000
CL    =    2.390595
Cy    =    0.000000
Cd    =    0.156097     ICd   =    0.156097     PCd   =    0.000000
Cl   = 2.87936e-15
Cm   =   -0.764391
ICn   =    0.000000     PCn   =    0.000000 
XCP   =    0.059476     YCP   =   -0.000000     ZCP   =    0.013224  
XNP   =    0.000000
Bending =   89.889536

Main Wing Cp Coefficients
 Panel     CtrlPt.x        CtrlPt.y        CtrlPt.z       Nx      Ny       Nz        Area       Cp
Main WingCp Coefficients
Strip 1
 175       1.553e-03      -9.729e-01      -8.543e-04          -0.621           0.000          -0.784       1.686e-04         -1.5120
 176       1.553e-03      -9.729e-01       3.298e-03          -0.874          -0.000           0.486       2.719e-04         -8.3202
 177       7.832e-03      -9.729e-01       8.896e-03          -0.502          -0.002           0.865       4.460e-04         -5.0080
 178       1.988e-02      -9.729e-01       1.388e-02          -0.294          -0.005           0.956       6.361e-04         -3.1814
 179       3.672e-02      -9.729e-01       1.748e-02          -0.140          -0.008           0.990       7.888e-04         -2.3060
 180       5.700e-02      -9.729e-01       1.894e-02          -0.012          -0.012           1.000       8.909e-04         -1.6819
 181       7.906e-02      -9.729e-01       1.802e-02           0.092          -0.016           0.996       9.325e-04         -1.1742
 182       1.011e-01      -9.729e-01       1.500e-02           0.180          -0.021           0.983       9.059e-04         -0.7309
 183       1.214e-01      -9.729e-01       1.076e-02           0.231          -0.025           0.973       8.031e-04         -0.3949
 184       1.382e-01      -9.729e-01       6.530e-03           0.259          -0.027           0.965       6.298e-04         -0.1887
 185       1.503e-01      -9.729e-01       3.011e-03           0.312          -0.032           0.949       4.062e-04          0.0049
 186       1.566e-01      -9.729e-01       7.364e-04           0.417          -0.042           0.908       1.455e-04          0.2143
Strip 9
 187       1.609e-01      -9.293e-01       5.794e-04          -0.332           0.034          -0.943       1.610e-04          0.5177
 188       1.545e-01      -9.293e-01       2.187e-03          -0.209           0.022          -0.978       4.533e-04          0.5190
 189       1.421e-01      -9.293e-01       3.827e-03          -0.080           0.010          -0.997       7.009e-04          0.5598
 190       1.248e-01      -9.293e-01       4.210e-03           0.024           0.001          -1.000       8.977e-04          0.5562
 191       1.040e-01      -9.293e-01       2.947e-03           0.093          -0.004          -0.996       1.028e-03          0.5449
 192       8.127e-02      -9.293e-01       5.060e-04           0.121          -0.006          -0.993       1.075e-03          0.5487
 193       5.859e-02      -9.293e-01      -1.919e-03           0.091          -0.005          -0.996       1.028e-03          0.6053
 194       3.775e-02      -9.293e-01      -3.311e-03           0.038          -0.003          -0.999       8.981e-04          0.7376
 195       2.044e-02      -9.293e-01      -3.539e-03          -0.019          -0.002          -1.000       6.987e-04          0.9246
 196       8.052e-03      -9.293e-01      -2.788e-03          -0.125          -0.001          -0.992       4.466e-04          0.8892
 197       1.597e-03      -9.293e-01      -8.783e-04          -0.621           0.000          -0.784       1.937e-04         -1.8882
 198       1.597e-03      -9.293e-01       3.390e-03          -0.874          -0.000           0.486       3.124e-04         -9.0493
 199       8.052e-03      -9.293e-01       9.145e-03          -0.502          -0.002           0.865       5.125e-04         -5.3293
 200       2.044e-02      -9.293e-01       1.427e-02          -0.294          -0.005           0.956       7.309e-04         -3.3609
 201       3.775e-02      -9.293e-01       1.797e-02          -0.140          -0.008           0.990       9.063e-04         -2.4305
 202       5.859e-02      -9.293e-01       1.947e-02          -0.012          -0.012           1.000       1.024e-03         -1.7726
 203       8.127e-02      -9.293e-01       1.853e-02           0.092          -0.016           0.996       1.071e-03         -1.2382
 204       1.040e-01      -9.293e-01       1.542e-02           0.180          -0.021           0.983       1.041e-03         -0.7712
 205       1.248e-01      -9.293e-01       1.107e-02           0.231          -0.025           0.973       9.227e-04         -0.4159
 206       1.421e-01      -9.293e-01       6.713e-03           0.259          -0.027           0.965       7.236e-04         -0.1959
 207       1.545e-01      -9.293e-01       3.095e-03           0.312          -0.032           0.949       4.667e-04          0.0096
 208       1.609e-01      -9.293e-01       7.571e-04           0.417          -0.042           0.908       1.672e-04          0.2262
Strip 10
