ALO_plane__body

Right Surface Points
        x()          y()          z()
  Cross Section   1
      -0.14103434       0.06042455      -0.02680516
      -0.14103434       0.06291641      -0.02989593
      -0.14103434       0.06525717      -0.03310781
      -0.14103434       0.06744682      -0.03643322
      -0.14103434       0.06948537      -0.03986460
      -0.14103434       0.07137282      -0.04339439
      -0.14103434       0.07310918      -0.04701500
      -0.14103434       0.07469446      -0.05071888
      -0.14103434       0.07612865      -0.05449845
      -0.14103434       0.07741177      -0.05834614
      -0.14103434       0.07854382      -0.06225438
      -0.14103434       0.07952480      -0.06621561
      -0.14103434       0.08035471      -0.07022226
      -0.14103434       0.08103357      -0.07426675
      -0.14103434       0.08156137      -0.07834152
      -0.14103434       0.08193813      -0.08243899
      -0.14103434       0.08216384      -0.08655161
      -0.14103434       0.08223851      -0.09067179
      -0.14103434       0.08216214      -0.09479198
      -0.14103434       0.08193475      -0.09890459
      -0.14103434       0.08155633      -0.10300207
      -0.14103434       0.08102689      -0.10707683
      -0.14103434       0.08034643      -0.11112132
      -0.14103434       0.07951496      -0.11512797
      -0.14103434       0.07853248      -0.11908920
      -0.14103434       0.07739901      -0.12299744
      -0.14103434       0.07611453      -0.12684514
      -0.14103434       0.07467906      -0.13062470
      -0.14103434       0.07309261      -0.13432858
      -0.14103434       0.07135517      -0.13794919
      -0.14103434       0.06946675      -0.14147898
      -0.14103434       0.06742735      -0.14491036
      -0.14103434       0.06523699      -0.14823578
      -0.14103434       0.06289566      -0.15144765
      -0.14103434       0.06040338      -0.15453842
      -0.14103434       0.05776013      -0.15750051
      -0.14103434       0.05496594      -0.16032636
      -0.14103434       0.05202080      -0.16300839
      -0.14103434       0.04892472      -0.16553903
      -0.14103434       0.04567770      -0.16791072
      -0.14103434       0.04227975      -0.17011589
      -0.14103434       0.03873087      -0.17214697
      -0.14103434       0.03503107      -0.17399638
      -0.14103434       0.03118035      -0.17565657
      -0.14103434       0.02717872      -0.17711995
      -0.14103434       0.02302618      -0.17837897
      -0.14103434       0.01872273      -0.17942605
      -0.14103434       0.01426839      -0.18025361
      -0.14103434       0.00966315      -0.18085411
      -0.14103434       0.00490702      -0.18121995
      -0.14103434       0.00000000      -0.18134358

  Cross Section   5
      -0.11978973       0.00000000       0.00000000
      -0.11978973       0.00490668      -0.00012762
      -0.11978973       0.00966227      -0.00050526
      -0.11978973       0.01426676      -0.00112511
      -0.11978973       0.01872017      -0.00197935
      -0.11978973       0.02302249      -0.00306018
      -0.11978973       0.02717374      -0.00435978
      -0.11978973       0.03117392      -0.00587034
      -0.11978973       0.03502303      -0.00758404
      -0.11978973       0.03872109      -0.00949308
      -0.11978973       0.04226809      -0.01158963
      -0.11978973       0.04566405      -0.01386588
      -0.11978973       0.04890897      -0.01631403
      -0.11978973       0.05200285      -0.01892625
      -0.11978973       0.05494570      -0.02169474
      -0.11978973       0.05773753      -0.02461168
      -0.11978973       0.06037835      -0.02766926
      -0.11978973       0.06286815      -0.03085966
      -0.11978973       0.06520694      -0.03417508
      -0.11978973       0.06739473      -0.03760769
      -0.11978973       0.06943154      -0.04114969
      -0.11978973       0.07131735      -0.04479326
      -0.11978973       0.07305218      -0.04853059
      -0.11978973       0.07463603      -0.05235387
      -0.11978973       0.07606891      -0.05625527
      -0.11978973       0.07735083      -0.06022700
      -0.11978973       0.07848178      -0.06426123
      -0.11978973       0.07946179      -0.06835016
      -0.11978973       0.08029084      -0.07248596
      -0.11978973       0.08096896      -0.07666083
      -0.11978973       0.08149613      -0.08086696
      -0.11978973       0.08187238      -0.08509652
      -0.11978973       0.08209770      -0.08934171
      -0.11978973       0.08217210      -0.09359471
      -0.11978973       0.08209560      -0.09784772
      -0.11978973       0.08186818      -0.10209290
      -0.11978973       0.08148986      -0.10632247
      -0.11978973       0.08096065      -0.11052859
      -0.11978973       0.08028054      -0.11470346
      -0.11978973       0.07944956      -0.11883927
      -0.11978973       0.07846769      -0.12292819
      -0.11978973       0.07733495      -0.12696242
      -0.11978973       0.07605135      -0.13093415
      -0.11978973       0.07461689      -0.13483556
      -0.11978973       0.07303157      -0.13865883
      -0.11978973       0.07129540      -0.14239616
      -0.11978973       0.06940838      -0.14603973
      -0.11978973       0.06737054      -0.14958173
      -0.11978973       0.06518185      -0.15301435
      -0.11978973       0.06284235      -0.15632976
      -0.11978973       0.06035202      -0.15952016
      -0.11978973       0.05771088      -0.16257774
      -0.11978973       0.05491893      -0.16549468
      -0.11978973       0.05197618      -0.16826317
      -0.11978973       0.04888263      -0.17087540
      -0.11978973       0.04563829      -0.17332354
      -0.11978973       0.04224316      -0.17559980
      -0.11978973       0.03869726      -0.17769635
      -0.11978973       0.03500058      -0.17960538
      -0.11978973       0.03115313      -0.18131908
      -0.11978973       0.02715492      -0.18282964
      -0.11978973       0.02300596      -0.18412924
      -0.11978973       0.01870625      -0.18521007
      -0.11978973       0.01425579      -0.18606432
      -0.11978973       0.00965459      -0.18668417
      -0.11978973       0.00490266      -0.18706181
      -0.11978973       0.00000000      -0.18718942

  Cross Section   6
      -0.09935170       0.00000000       0.00000000
      -0.09935170       0.00490355      -0.00013120
      -0.09935170       0.00965608      -0.00051946
      -0.09935170       0.01425759      -0.00115672
      -0.09935170       0.01870810      -0.00203498
      -0.09935170       0.02300760      -0.00314618
      -0.09935170       0.02715610      -0.00448231
      -0.09935170       0.03115362      -0.00603532
      -0.09935170       0.03500015      -0.00779718
      -0.09935170       0.03869571      -0.00975986
      -0.09935170       0.04224030      -0.01191533
      -0.09935170       0.04563393      -0.01425556
      -0.09935170       0.04887661      -0.01677251
      -0.09935170       0.05196833      -0.01945814
      -0.09935170       0.05490912      -0.02230443
      -0.09935170       0.05769897      -0.02530335
      -0.09935170       0.06033789      -0.02844686
      -0.09935170       0.06282589      -0.03172692
      -0.09935170       0.06516298      -0.03513551
      -0.09935170       0.06734915      -0.03866459
      -0.09935170       0.06938443      -0.04230613
      -0.09935170       0.07126881      -0.04605210
      -0.09935170       0.07300231      -0.04989446
      -0.09935170       0.07458492      -0.05382518
      -0.09935170       0.07601666      -0.05783623
      -0.09935170       0.07729754      -0.06191957
      -0.09935170       0.07842755      -0.06606718
      -0.09935170       0.07940671      -0.07027102
      -0.09935170       0.08023502      -0.07452305
      -0.09935170       0.08091249      -0.07881525
      -0.09935170       0.08143913      -0.08313958
      -0.09935170       0.08181495      -0.08748801
      -0.09935170       0.08203994      -0.09185250
      -0.09935170       0.08211412      -0.09622503
      -0.09935170       0.08203749      -0.10059755
      -0.09935170       0.08181006      -0.10496205
      -0.09935170       0.08143184      -0.10931047
      -0.09935170       0.08090283      -0.11363480
      -0.09935170       0.08022305      -0.11792700
      -0.09935170       0.07939249      -0.12217903
      -0.09935170       0.07841116      -0.12638287
      -0.09935170       0.07727908      -0.13053048
      -0.09935170       0.07599624      -0.13461382
      -0.09935170       0.07456266      -0.13862487
      -0.09935170       0.07297834      -0.14255559
      -0.09935170       0.07124329      -0.14639795
      -0.09935170       0.06935751      -0.15014392
      -0.09935170       0.06732101      -0.15378546
      -0.09935170       0.06513380      -0.15731454
      -0.09935170       0.06279589      -0.16072313
      -0.09935170       0.06030728      -0.16400320
      -0.09935170       0.05766797      -0.16714670
      -0.09935170       0.05487798      -0.17014562
      -0.09935170       0.05193732      -0.17299191
      -0.09935170       0.04884598      -0.17567755
      -0.09935170       0.04560397      -0.17819449
      -0.09935170       0.04221131      -0.18053472
