FDA-1 V0.0_scaled_2.2-wing04_DPv1_TOLD_Full_UAV_v3.1_body

Right Surface Points
        x()          y()          z()
        0.416          0.105          0.162
        0.416          0.119          0.155
        0.416          0.130          0.147
        0.416          0.140          0.138
        0.416          0.148          0.128
        0.416          0.154          0.118
        0.416          0.159          0.107
        0.416          0.162          0.095
        0.416          0.165          0.083
        0.416          0.167          0.071
        0.416          0.168          0.058
        0.416          0.168          0.045
        0.416          0.168          0.032
        0.416          0.169          0.019
        0.416          0.169          0.006
        0.416          0.168         -0.007
        0.416          0.168         -0.020
        0.416          0.167         -0.033
        0.416          0.165         -0.045
        0.416          0.163         -0.057
        0.416          0.159         -0.068
        0.416          0.154         -0.079
        0.416          0.148         -0.090
        0.416          0.140         -0.099
        0.416          0.131         -0.108
        0.416          0.119         -0.116
        0.416          0.106         -0.123
        0.416          0.090         -0.130
        0.416          0.071         -0.135
        0.416          0.050         -0.139
        0.416          0.027         -0.142
        0.416          0.000         -0.143

  Cross Section  15
        0.434          0.000          0.184
        0.434          0.027          0.182
        0.434          0.051          0.179
        0.434          0.072          0.175
        0.434          0.090          0.169
        0.434          0.106          0.163
        0.434          0.120          0.155
        0.434          0.132          0.147
        0.434          0.142          0.137
        0.434          0.150          0.127
        0.434          0.156          0.116
        0.434          0.161          0.105
        0.434          0.165          0.093
        0.434          0.167          0.080
        0.434          0.169          0.068
        0.434          0.170          0.054
        0.434          0.171          0.041
        0.434          0.171          0.027
        0.434          0.171          0.014
        0.434          0.171          0.000
        0.434          0.171         -0.013
        0.434          0.170         -0.027
        0.434          0.169         -0.040
        0.434          0.168         -0.053
        0.434          0.165         -0.065
        0.434          0.161         -0.077
        0.434          0.156         -0.089
        0.434          0.150         -0.099
        0.434          0.142         -0.109
        0.434          0.132         -0.119
        0.434          0.121         -0.127
        0.434          0.107         -0.134
        0.434          0.091         -0.141
        0.434          0.072         -0.146
        0.434          0.051         -0.150
        0.434          0.027         -0.153
        0.434          0.000         -0.155

  Cross Section  16
        0.452          0.000          0.184
        0.452          0.027          0.183
        0.452          0.051          0.180
        0.452          0.073          0.175
        0.452          0.091          0.170
        0.452          0.108          0.163
        0.452          0.121          0.155
        0.452          0.133          0.147
        0.452          0.143          0.137
        0.452          0.151          0.127
        0.452          0.158          0.115
        0.452          0.163          0.104
        0.452          0.167          0.091
        0.452          0.169          0.078
        0.452          0.171          0.065
        0.452          0.172          0.052
        0.452          0.173          0.038
        0.452          0.173          0.024
        0.452          0.173          0.010
        0.452          0.173         -0.004
        0.452          0.173         -0.018
        0.452          0.173         -0.032
        0.452          0.171         -0.046
        0.452          0.170         -0.059
        0.452          0.167         -0.072
        0.452          0.163         -0.084
        0.452          0.158         -0.096
        0.452          0.151         -0.107
        0.452          0.143         -0.117
